,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
142,270977.5,286.748677,945,0.0,0.0,0,0,346.45,INE205A01025,0.0,0,0.0,0.0,0.0,0.0,0,241187.6,255.224974,945,[500295] VEDL,0,-29789.9,0
143,222624.08,27828.01,8,0.0,0.0,0,0,17522.15,INE070A01015,0.0,0,0.0,0.0,0.0,26783.01,1,252892.51,28099.167778,9,[500387] SHREECE,0,3485.42,0
144,216615.48,4087.084528,53,0.0,0.0,0,0,1331.3,INE003A01024,0.0,0,0.0,0.0,0.0,0.0,0,217448.72,4102.806038,53,[500550] SIEMENS,0,833.24,0
145,271387.9,2584.646667,105,2584.65,271387.9,0,0,1827.95,INE647A01010,0.0,0,0.0,2560.2,-5133.8,0.0,0,0.0,0.0,0,[503806] SRF,105,0.0,0
146,588111.55,1928.23459,305,1987.83,397565.1,0,0,1405.0,INE721A01013,0.0,0,0.0,2359.8,148789.8,0.0,0,214151.4,2039.537143,105,[511218] SHRIRAM,200,23604.95,0
147,151178.19,821.620598,184,821.62,151178.19,0,0,785.0,INE939A01011,0.0,0,0.0,784.6,-13623.58,0.0,0,0.0,0.0,0,[532531] STAR,184,0.0,0
148,151334.08,1022.527568,148,1022.53,151334.08,0,0,536.7,INE387A01021,0.0,0,0.0,1093.55,21022.64,0.0,0,0.0,0.0,0,[500403] SUNDRMF,148,0.0,0
149,0.0,0.0,0,0.0,0.0,0,0,377.0,INE663A01033,0.0,0,0.0,0.0,0.0,-14557.6,-40,0.0,0.0,0,[500405] SUPREME,-40,0.0,0
150,0.0,0.0,0,0.0,0.0,0,0,33.75,INE503B01021,0.0,0,0.0,0.0,0.0,-83635.38,-4122,0.0,0.0,0,[534748] STEELXI,-4122,0.0,0
151,206035.26,632.01,326,0.0,0.0,0,0,1030.0,INE424H01027,0.0,0,0.0,0.0,0.0,0.0,0,206060.74,632.08816,326,[532733] SUNTV,0,25.48,0
152,0.0,0.0,0,0.0,0.0,0,0,297.9,INE420C01059,0.0,0,0.0,0.0,0.0,-53255.08,-747,0.0,0.0,0,[532900] PAISALO,-747,0.0,0
153,243635.0,69.61,3500,0.0,0.0,0,0,34.6,INE002L01015,0.0,0,0.0,0.0,0.0,0.0,0,257565.0,73.59,3500,[533206] SJVN,0,13930.0,0
154,67780.95,677.8095,100,0.0,0.0,0,0,625.0,INE398R01022,0.0,0,0.0,0.0,0.0,0.0,0,70606.1,706.061,100,[539268] SYNGENE,0,2825.15,0
155,40205.35,187.001628,215,0.0,0.0,0,0,276.8,INE712K01011,0.0,0,0.0,0.0,0.0,0.0,0,34543.9,160.669302,215,[539334] SHREEPU,0,-5661.45,0
156,77089.6,128.482667,600,0.0,0.0,0,0,305.6,INE500L01026,0.0,0,0.0,0.0,0.0,0.0,0,103194.0,171.99,600,[539450] SHK,0,26104.4,0
157,136001.0,1360.01,100,0.0,0.0,0,0,681.5,INE123W01016,0.0,0,0.0,0.0,0.0,0.0,0,129399.0,1293.99,100,[540719] SBILIFE,0,-6602.0,0
158,135859.5,143.01,950,0.0,0.0,0,0,0.0,INE324X01018,0.0,0,0.0,0.0,0.0,0.0,0,153623.9,5.390312,28500,[543688] SARVESH,-27550,-130730.1,0
159,411405.5,748.01,550,0.0,0.0,0,0,0.0,INE018E01016,0.0,0,0.0,0.0,0.0,0.0,0,412294.8,749.626909,550,[543066] SBICARD,0,889.3,0
