,trading_symbol,exchange,exchange_token
68844,BHARATGEAR,NSE,426
46665,BHARATRAS,NSE,3834
67004,BHARATWIRE,NSE,16123
15593,BHARTIARTL,NSE,10604
20450,BHARTIHEXA,NSE,23489
77108,BHEL,NSE,438
64798,BIGBLOC,NSE,18431
19084,BIKAJI,NSE,11966
49996,BINANIIND,NSE,13625
13934,BIOCON,NSE,11373
46873,BIOFILCHEM,NSE,4136
27592,BIRLACABLE,NSE,477
36543,BIRLACORPN,NSE,480
62357,BLACKBUCK,NSE,27144
44470,BLAL,NSE,15067
26957,BLBLIMITED,NSE,8132
73908,BLISSGVS,NSE,19265
54062,BLKASHYAP,NSE,13290
79949,BLS,NSE,17279
32172,BLSE,NSE,22566
36294,BLUEDART,NSE,495
18648,BLUEJET,NSE,19686
71421,BLUESTARCO,NSE,8311
63599,BODALCHEM,NSE,25017
1835,BOMDYEING,NSE,513
21267,BOROLTD,NSE,19401
79838,BOROSCI,NSE,24014
61673,BOSCHLTD,NSE,2181
86183,BPCL,NSE,526
15041,BPL,NSE,530
60379,BRIGADE,NSE,15184
37164,BRITANNIA,NSE,547
24212,BRNL,NSE,21683
40070,BROOKS,NSE,25136
39483,BSE,NSE,19585
91820,BSE500IETF,NSE,3001
58846,BSHSL,NSE,809
67544,BSLGOLDETF,NSE,23804
69267,BSLNIFTY,NSE,24781
52502,BSLSENETFG,NSE,5957
54866,BSOFT,NSE,6994
67184,BUTTERFLY,NSE,2716
61438,BVCL,NSE,15073
61319,CAMLINFINE,NSE,6216
52819,CAMPUS,NSE,9362
66517,CAMS,NSE,342
22747,CANBK,NSE,10794
47392,CANFINHOME,NSE,583
31994,CANTABIL,NSE,20160
48215,CAPACITE,NSE,21749
56390,CAPITALSFB,NSE,22675
65814,CAPLIPOINT,NSE,3906
72967,CAPTRUST,NSE,19447
48063,CARBORUNIV,NSE,595
47598,CAREERP,NSE,20086
31239,CARERATING,NSE,29113
70587,CARRARO,NSE,28879
66247,CARTRADE,NSE,5407
36818,CARYSIL,NSE,1879
58309,CASTROLIND,NSE,1250
88232,CCHHL,NSE,6385
86740,CCL,NSE,11452
10852,CDSL,NSE,21174
18927,CEATLTD,NSE,15254
72004,CEIGALL,NSE,24742
75329,CELEBRITY,NSE,13162
20997,CELLO,NSE,19795
77706,CENTENKA,NSE,619
69382,CENTEXT,NSE,11511
36960,CENTRALBK,NSE,14894
1607,CENTRUM,NSE,2454
74534,CENTUM,NSE,14982
68306,CENTURYPLY,NSE,13305
47457,CERA,NSE,15039
84991,CESC,NSE,628
88090,CEWATER,NSE,28764
38916,CGCL,NSE,20329
74153,CGPOWER,NSE,760
3500,CHALET,NSE,8546
54049,CHAMBLFERT,NSE,637
43693,CHEMBOND,NSE,14618
59696,CHEMCON,NSE,270
65001,CHEMFAB,NSE,2799
