,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
37,390046.31,226.507729,1722,0.0,0.0,0.0,0,0.0,INE717W01049,0.0,0,0.0,0.0,0.0,0.0,0,337856.4,196.2,1722,[544029] GANDHAR,0,-52189.91,0
38,264666.36,135.31,1956,135.31,264666.36,0.0,0,0.0,INE486R01017,0.0,0,0.0,138.0,10523.28,0.0,0,0.0,0.0,0,[544131] GPT HEAL,1956,0.0,0
39,0.0,0.0,0,2555.22,396058.45,0.0,0,1963.05,INE001A01036,0.0,0,0.0,2724.35,52431.6,396058.45,155,0.0,0.0,0,[500010] HDFC,155,0.0,0
40,1017840.02,1676.836936,607,1676.84,1017840.02,0.0,0,2013.5,INE040A01034,0.0,0,0.0,1732.2,67210.76,0.0,0,0.0,0.0,0,[500180] HDFCBANK,607,0.0,0
41,1533409.700000001,2598.999492,590,0.0,0.0,0.0,0,2915.0,INE545A01024,0.0,0,0.0,0.0,0.0,0.0,0,1269649.55,430.389678,2950,[509631] HEG,-2360,-1279184.95,0
42,1353575.230000001,634.587543,2133,0.0,0.0,0.0,0,263.2,INE038A01020,0.0,0,0.0,0.0,0.0,0.0,0,1292338.82,605.87849,2133,[500440] HINDALCO,0,-61236.41,0
43,687431.9500000001,2546.044259,270,0.0,0.0,0.0,0,1400.0,INE030A01027,0.0,0,0.0,0.0,0.0,0.0,0,666066.7,2466.913704,270,[500696] HINDUNIL,0,-21365.25,0
44,0.0,0.0,0,0.0,0.0,0.0,0,0.0,INE926X01010,0.0,0,0.0,0.0,0.0,128646.0,150,167261.05,1115.073667,150,[541019] H.G.INFR,0,38615.05,0
45,375734.42,421.226928,892,0.0,0.0,0.0,0,0.0,INE694N01015,0.0,0,0.0,0.0,0.0,0.0,0,336405.93,377.136693,892,[543266] HERANBA,0,-39328.49,0
46,49588.2,1101.96,45,0.0,0.0,0.0,0,353.95,INE090A01021,0.0,0,0.0,0.0,0.0,451558.55,445,566974.1,1157.09,490,[532174] ICICIBAN,0,65827.35,0
47,600739.35,1381.01,435,0.0,0.0,0.0,0,589.0,INE571A01038,0.0,0,0.0,0.0,0.0,0.0,0,610339.0,1403.078161,435,[524494] IPCALAB,0,9599.65,0
48,298573.3,176.14944,1695,0.0,0.0,0.0,0,137.45,INE937A01023,0.0,0,0.0,0.0,0.0,0.0,0,252697.15,149.083864,1695,[500402] SPMLINFR,0,-45876.15,0
49,2232476.23,779.768156,2863,779.77,2232476.23,0.0,0,678.4,INE919H01018,0.0,0,0.0,630.7,-853564.26,0.0,0,0.0,0.0,0,[533047] IMFA,2863,0.0,0
50,300669.78,1689.156067,178,0.0,0.0,0.0,0,805.0,INE765G01017,0.0,0,0.0,0.0,0.0,0.0,0,300895.77,1690.425674,178,[540716] ICICIGI,0,225.99,0
51,93816.9,367.909412,255,0.0,0.0,0.0,0,0.0,INE758E01017,0.0,0,0.0,0.0,0.0,0.0,0,90025.2,353.04,255,[543940] JIO FINA,0,-3791.7,0
