accd,accddescr,amtcr,amtdr,branchid,branchname,cheqdt,cheqno,co,idn,narr,p_r,runbal,subcode,subdescr,tt,type,vrdt,vrno,datefrom,dateto,accyear
62,CLIENTS,0.0,52703.67,HO,Branch [HO],1899-12-31T18:30:00Z,,02,83927,Obligation For: 2223048W [Equities] Trade Date 08/06/22,,978202.06,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-09T18:30:00Z,V223048,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,63714.78,HO,Branch [HO],1899-12-31T18:30:00Z,,02,84355,Obligation For: 2223049W [Equities] Trade Date 09/06/22,,914487.28,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-12T18:30:00Z,V223049,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,63579.86,HO,Branch [HO],1899-12-31T18:30:00Z,,02,86663,Obligation For: 2223050W [Equities] Trade Date 10/06/22,,850907.42,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-13T18:30:00Z,V223050,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,999717.42,HO,Branch [HO],2022-06-16T18:30:00Z,,02,1166,,P,-148810.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-06-16T18:30:00Z,P/00008,01-04-2022,31-03-2023,2223
62,CLIENTS,48536.24,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,90733,"		Inter Segment Balance Transfer From NFO   To   BSE
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,-100273.76,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-06-16T18:30:00Z,IE00002,01-04-2022,31-03-2023,2223
62,CLIENTS,100273.76,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,88681,Obligation For: 2223053W [Equities] Trade Date 15/06/22,,0.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-16T18:30:00Z,V223053,01-04-2022,31-03-2023,2223
62,CLIENTS,1000000.0,0.0,HO,Branch [HO],2022-06-19T18:30:00Z,RTGS,02,1211,,R,1000000.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-06-19T18:30:00Z,R/00010,01-04-2022,31-03-2023,2223
62,CLIENTS,62122.5,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,89896,Obligation For: 2223054W [Equities] Trade Date 16/06/22,,1062122.5,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-19T18:30:00Z,V223054,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,127990.5,HO,Branch [HO],1899-12-31T18:30:00Z,,02,90775,Obligation For: 2223055W [Equities] Trade Date 17/06/22,,934132.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-20T18:30:00Z,V223055,01-04-2022,31-03-2023,2223
62,CLIENTS,23414.26,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,93023,Obligation For: 2223056W [Equities] Trade Date 20/06/22,,957546.26,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-21T18:30:00Z,V223056,01-04-2022,31-03-2023,2223
